section_size,eccentricity,length,DCR,median,log_standard_deviation
W36X652,0.0,1,0.95,1933.4496643264185,0.40943138137408386
W36X652,0.0,1,0.85,-,-
W36X652,0.0,1,0.75,-,-
W36X652,0.0,1,0.5,-,-
W36X652,0.0,1,0.25,-,-
W36X652,0.0,1,0.15,-,-
W36X652,0.0,1,0.05,-,-
W36X529,0.0,1,0.95,1589.0807396129549,0.4083374886447978
W36X529,0.0,1,0.85,3168.715727263113,0.2259205697161809
W36X529,0.0,1,0.75,-,-
W36X529,0.0,1,0.5,-,-
W36X529,0.0,1,0.25,-,-
W36X529,0.0,1,0.15,-,-
W36X529,0.0,1,0.05,-,-
W36X487,0.0,1,0.95,1458.2926541117408,0.4046028335604019
W36X487,0.0,1,0.85,3091.6749760839202,0.24983280827100596
W36X487,0.0,1,0.75,-,-
W36X487,0.0,1,0.5,-,-
W36X487,0.0,1,0.25,-,-
W36X487,0.0,1,0.15,-,-
W36X487,0.0,1,0.05,-,-
W36X441,0.0,1,0.95,1322.3888134855451,0.4094470844369371
W36X441,0.0,1,0.85,2586.734021042661,0.1987280685424629
W36X441,0.0,1,0.75,-,-
W36X441,0.0,1,0.5,-,-
W36X441,0.0,1,0.25,-,-
W36X441,0.0,1,0.15,-,-
W36X441,0.0,1,0.05,-,-
W36X395,0.0,1,0.95,1182.498000449183,0.4195137577544055
W36X395,0.0,1,0.85,2649.407494124167,0.2530920379885696
W36X395,0.0,1,0.75,-,-
W36X395,0.0,1,0.5,-,-
W36X395,0.0,1,0.25,-,-
W36X395,0.0,1,0.15,-,-
W36X395,0.0,1,0.05,-,-
W36X361,0.0,1,0.95,1071.1839264141133,0.4490728142829845
W36X361,0.0,1,0.85,2693.632073010158,0.3133894368170157
W36X361,0.0,1,0.75,2122.6881471866104,0.0257621397232197
W36X361,0.0,1,0.5,-,-
W36X361,0.0,1,0.25,-,-
W36X361,0.0,1,0.15,-,-
W36X361,0.0,1,0.05,-,-
W27X539,0.0,1,0.95,1929.4537072705466,0.41058089935882497
W27X539,0.0,1,0.85,-,-
W27X539,0.0,1,0.75,-,-
W27X539,0.0,1,0.5,-,-
W27X539,0.0,1,0.25,-,-
W27X539,0.0,1,0.15,-,-
W27X539,0.0,1,0.05,-,-
W33X387,0.0,1,0.95,1218.7884369357853,0.4253455188499967
W33X387,0.0,1,0.85,2696.3139738002587,0.2567322983094026
W33X387,0.0,1,0.75,-,-
W33X387,0.0,1,0.5,-,-
W33X387,0.0,1,0.25,-,-
W33X387,0.0,1,0.15,-,-
W33X387,0.0,1,0.05,-,-
W36X330,0.0,1,0.95,969.3749150198992,0.4735933480631427
W36X330,0.0,1,0.85,2470.0601151752107,0.306295155434168
W36X330,0.0,1,0.75,3248.3041959306643,0.214198327685839
W36X330,0.0,1,0.5,-,-
W36X330,0.0,1,0.25,-,-
W36X330,0.0,1,0.15,-,-
W36X330,0.0,1,0.05,-,-
W33X354,0.0,1,0.95,1108.3035678782867,0.44202830043396035
W33X354,0.0,1,0.85,2714.737899957941,0.29738717766400585
W33X354,0.0,1,0.75,2122.6881471866104,0.0257621397232197
W33X354,0.0,1,0.5,-,-
W33X354,0.0,1,0.25,-,-
W33X354,0.0,1,0.15,-,-
W33X354,0.0,1,0.05,-,-
W36X302,0.0,1,0.95,862.0575346147533,0.5185632081801146
W36X302,0.0,1,0.85,2384.548342427238,0.3364413337671925
W36X302,0.0,1,0.75,3224.8429050230566,0.2574147276935264
W36X302,0.0,1,0.5,-,-
W36X302,0.0,1,0.25,-,-
W36X302,0.0,1,0.15,-,-
W36X302,0.0,1,0.05,-,-
W30X391,0.0,1,0.95,1314.3295065385662,0.41222401803941966
W30X391,0.0,1,0.85,2586.734021042661,0.1987280685424629
W30X391,0.0,1,0.75,-,-
W30X391,0.0,1,0.5,-,-
W30X391,0.0,1,0.25,-,-
W30X391,0.0,1,0.15,-,-
W30X391,0.0,1,0.05,-,-
W36X282,0.0,1,0.95,780.0710457051975,0.5280354363295701
W36X282,0.0,1,0.85,2305.128760793563,0.3632046548618568
W36X282,0.0,1,0.75,2432.703908651856,0.14001887367009602
W36X282,0.0,1,0.5,-,-
W36X282,0.0,1,0.25,-,-
W36X282,0.0,1,0.15,-,-
W36X282,0.0,1,0.05,-,-
W33X318,0.0,1,0.95,986.7226938248335,0.4712384268477793
W33X318,0.0,1,0.85,2490.6201337038506,0.296674290899106
W33X318,0.0,1,0.75,3248.3041959306643,0.214198327685839
W33X318,0.0,1,0.5,-,-
W33X318,0.0,1,0.25,-,-
W33X318,0.0,1,0.15,-,-
W33X318,0.0,1,0.05,-,-
W30X357,0.0,1,0.95,1202.0839051535888,0.422534647200026
W30X357,0.0,1,0.85,2696.3139738002587,0.2567322983094026
W30X357,0.0,1,0.75,-,-
W30X357,0.0,1,0.5,-,-
W30X357,0.0,1,0.25,-,-
W30X357,0.0,1,0.15,-,-
W30X357,0.0,1,0.05,-,-
W36X262,0.0,1,0.95,696.7856953191084,0.5494578978474757
W36X262,0.0,1,0.85,2181.602039921311,0.3697888889522378
W36X262,0.0,1,0.75,2518.398260610804,0.18763929080788888
W36X262,0.0,1,0.5,-,-
W36X262,0.0,1,0.25,-,-
W36X262,0.0,1,0.15,-,-
W36X262,0.0,1,0.05,-,-
W33X291,0.0,1,0.95,894.1439543799563,0.49545608680859665
W33X291,0.0,1,0.85,2390.671528486447,0.3280115461714889
W33X291,0.0,1,0.75,3363.932347928724,0.2629091841133783
W33X291,0.0,1,0.5,-,-
W33X291,0.0,1,0.25,-,-
W33X291,0.0,1,0.15,-,-
W33X291,0.0,1,0.05,-,-
W36X256,0.0,1,0.95,894.2077651043055,0.4971641260052471
W36X256,0.0,1,0.85,2404.5624198085607,0.33175475075993216
W36X256,0.0,1,0.75,3363.932347928724,0.2629091841133783
W36X256,0.0,1,0.5,-,-
W36X256,0.0,1,0.25,-,-
W36X256,0.0,1,0.15,-,-
W36X256,0.0,1,0.05,-,-
W30X326,0.0,1,0.95,1091.2232683622556,0.4396390717242863
W30X326,0.0,1,0.85,2623.0784023621936,0.2870556200689189
W30X326,0.0,1,0.75,2122.6881471866104,0.0257621397232197
W30X326,0.0,1,0.5,-,-
W30X326,0.0,1,0.25,-,-
W30X326,0.0,1,0.15,-,-
W30X326,0.0,1,0.05,-,-
W36X247,0.0,1,0.95,648.3395148622201,0.5699992364103527
W36X247,0.0,1,0.85,2047.4796505832217,0.34991492018170467
