section_size,eccentricity,length,DCR,median,log_standard_deviation
W36X652,0.000,29,0.95,1933.450,0.409
W36X652,0.000,29,0.85,348030.846,1.184
W36X652,0.000,29,0.75,348030.846,1.184
W36X652,0.000,29,0.50,348030.846,1.184
W36X652,0.000,29,0.25,348030.846,1.184
W36X652,0.000,29,0.15,348030.846,1.184
W36X652,0.000,29,0.05,348030.846,1.184
W36X652,0.000,25,0.95,1933.450,0.409
W36X652,0.000,25,0.85,348030.826,1.184
W36X652,0.000,25,0.75,348030.846,1.184
W36X652,0.000,25,0.50,348030.846,1.184
W36X652,0.000,25,0.25,348030.846,1.184
W36X652,0.000,25,0.15,348030.846,1.184
W36X652,0.000,25,0.05,348030.846,1.184
W36X652,0.000,21,0.95,1933.450,0.409
W36X652,0.000,21,0.85,348030.846,1.184
W36X652,0.000,21,0.75,348030.846,1.184
W36X652,0.000,21,0.50,348030.846,1.184
W36X652,0.000,21,0.25,348030.846,1.184
W36X652,0.000,21,0.15,348030.846,1.184
W36X652,0.000,21,0.05,348030.846,1.184
W36X652,0.000,17,0.95,1933.450,0.409
W36X652,0.000,17,0.85,348030.846,1.184
W36X652,0.000,17,0.75,348030.846,1.184
W36X652,0.000,17,0.50,348030.846,1.184
W36X652,0.000,17,0.25,348030.846,1.184
W36X652,0.000,17,0.15,348030.846,1.184
W36X652,0.000,17,0.05,348030.846,1.184
W36X652,0.000,13,0.95,1933.450,0.409
W36X652,0.000,13,0.85,348030.846,1.184
W36X652,0.000,13,0.75,348030.846,1.184
W36X652,0.000,13,0.50,348030.846,1.184
W36X652,0.000,13,0.25,348030.846,1.184
W36X652,0.000,13,0.15,348030.846,1.184
W36X652,0.000,13,0.05,348030.846,1.184
W36X652,0.000,9,0.95,1933.450,0.409
W36X652,0.000,9,0.85,348030.846,1.184
W36X652,0.000,9,0.75,348030.846,1.184
W36X652,0.000,9,0.50,348030.846,1.184
W36X652,0.000,9,0.25,348030.846,1.184
W36X652,0.000,9,0.15,348030.846,1.184
W36X652,0.000,9,0.05,348030.846,1.184
W36X529,0.000,29,0.95,1589.081,0.408
W36X529,0.000,29,0.85,3168.716,0.226
W36X529,0.000,29,0.75,348030.846,1.184
W36X529,0.000,29,0.50,348030.846,1.184
W36X529,0.000,29,0.25,348030.846,1.184
W36X529,0.000,29,0.15,348030.846,1.184
W36X529,0.000,29,0.05,348030.846,1.184
W36X529,0.000,25,0.95,1589.081,0.408
W36X529,0.000,25,0.85,3168.716,0.226
W36X529,0.000,25,0.75,348030.846,1.184
W36X529,0.000,25,0.50,348030.826,1.184
W36X529,0.000,25,0.25,348030.846,1.184
W36X529,0.000,25,0.15,348030.846,1.184
W36X529,0.000,25,0.05,348030.846,1.184
W36X529,0.000,21,0.95,1589.081,0.408
W36X529,0.000,21,0.85,3168.716,0.226
W36X529,0.000,21,0.75,348030.846,1.184
W36X529,0.000,21,0.50,348030.846,1.184
W36X529,0.000,21,0.25,348030.846,1.184
W36X529,0.000,21,0.15,348030.846,1.184
W36X529,0.000,21,0.05,348030.829,1.184
W36X529,0.000,17,0.95,1589.081,0.408
W36X529,0.000,17,0.85,3168.716,0.226
W36X529,0.000,17,0.75,348030.846,1.184
W36X529,0.000,17,0.50,348030.846,1.184
W36X529,0.000,17,0.25,348030.846,1.184
W36X529,0.000,17,0.15,348030.846,1.184
W36X529,0.000,17,0.05,348030.846,1.184
W36X529,0.000,13,0.95,1589.081,0.408
W36X529,0.000,13,0.85,3168.716,0.226
W36X529,0.000,13,0.75,348030.846,1.184
W36X529,0.000,13,0.50,348030.846,1.184
W36X529,0.000,13,0.25,348030.846,1.184
W36X529,0.000,13,0.15,348030.826,1.184
W36X529,0.000,13,0.05,348030.826,1.184
W36X529,0.000,9,0.95,1589.081,0.408
W36X529,0.000,9,0.85,3168.716,0.226
W36X529,0.000,9,0.75,348030.846,1.184
W36X529,0.000,9,0.50,348030.846,1.184
W36X529,0.000,9,0.25,348030.846,1.184
W36X529,0.000,9,0.15,348030.846,1.184
W36X529,0.000,9,0.05,348030.846,1.184
W36X487,0.000,29,0.95,1458.293,0.405
W36X487,0.000,29,0.85,3091.675,0.250
W36X487,0.000,29,0.75,348030.846,1.184
W36X487,0.000,29,0.50,348030.846,1.184
W36X487,0.000,29,0.25,348030.846,1.184
W36X487,0.000,29,0.15,348030.846,1.184
W36X487,0.000,29,0.05,348030.846,1.184
W36X487,0.000,25,0.95,1458.293,0.405
W36X487,0.000,25,0.85,3091.675,0.250
W36X487,0.000,25,0.75,348030.846,1.184
W36X487,0.000,25,0.50,348030.846,1.184
W36X487,0.000,25,0.25,348030.846,1.184
W36X487,0.000,25,0.15,348030.846,1.184
W36X487,0.000,25,0.05,348030.846,1.184
W36X487,0.000,21,0.95,1458.293,0.405
W36X487,0.000,21,0.85,3091.675,0.250
W36X487,0.000,21,0.75,348030.846,1.184
W36X487,0.000,21,0.50,348030.846,1.184
W36X487,0.000,21,0.25,348030.846,1.184
W36X487,0.000,21,0.15,348030.829,1.184
W36X487,0.000,21,0.05,348030.846,1.184
W36X487,0.000,17,0.95,1458.293,0.405
W36X487,0.000,17,0.85,3091.675,0.250
W36X487,0.000,17,0.75,348030.829,1.184
W36X487,0.000,17,0.50,348030.846,1.184
W36X487,0.000,17,0.25,348030.846,1.184
W36X487,0.000,17,0.15,348030.826,1.184
W36X487,0.000,17,0.05,348030.846,1.184
W36X487,0.000,13,0.95,1458.293,0.405
W36X487,0.000,13,0.85,3091.675,0.250
W36X487,0.000,13,0.75,348030.846,1.184
W36X487,0.000,13,0.50,348030.846,1.184
W36X487,0.000,13,0.25,348030.846,1.184
W36X487,0.000,13,0.15,348030.846,1.184
W36X487,0.000,13,0.05,348030.846,1.184
W36X487,0.000,9,0.95,1458.293,0.405
W36X487,0.000,9,0.85,3091.675,0.250
W36X487,0.000,9,0.75,348030.846,1.184
W36X487,0.000,9,0.50,348030.846,1.184
W36X487,0.000,9,0.25,348030.846,1.184
W36X487,0.000,9,0.15,348030.829,1.184
W36X487,0.000,9,0.05,348030.846,1.184
W36X441,0.000,29,0.95,1322.389,0.409
W36X441,0.000,29,0.85,2586.734,0.199
W36X441,0.000,29,0.75,348030.846,1.184
W36X441,0.000,29,0.50,348030.846,1.184
W36X441,0.000,29,0.25,348030.846,1.184
W36X441,0.000,29,0.15,348030.846,1.184
W36X441,0.000,29,0.05,348030.846,1.184
W36X441,0.000,25,0.95,1322.389,0.409
W36X441,0.000,25,0.85,2586.734,0.199
W36X441,0.000,25,0.75,348030.846,1.184
W36X441,0.000,25,0.50,348030.846,1.184
W36X441,0.000,25,0.25,348030.846,1.184
W36X441,0.000,25,0.15,348030.846,1.184
W36X441,0.000,25,0.05,348030.846,1.184
W36X441,0.000,21,0.95,1322.389,0.409
W36X441,0.000,21,0.85,2586.734,0.199
W36X441,0.000,21,0.75,348030.846,1.184
W36X441,0.000,21,0.50,348030.846,1.184
W36X441,0.000,21,0.25,348030.846,1.184
W36X441,0.000,21,0.15,348030.846,1.184
W36X441,0.000,21,0.05,348030.846,1.184
W36X441,0.000,17,0.95,1322.389,0.409
W36X441,0.000,17,0.85,2586.734,0.199
W36X441,0.000,17,0.75,348030.846,1.184
W36X441,0.000,17,0.50,348030.846,1.184
W36X441,0.000,17,0.25,348030.846,1.184
W36X441,0.000,17,0.15,348030.846,1.184
W36X441,0.000,17,0.05,348030.846,1.184
W36X441,0.000,13,0.95,1322.389,0.409
W36X441,0.000,13,0.85,2586.734,0.199
W36X441,0.000,13,0.75,348030.846,1.184
W36X441,0.000,13,0.50,348030.846,1.184
W36X441,0.000,13,0.25,348030.846,1.184
W36X441,0.000,13,0.15,348030.829,1.184
W36X441,0.000,13,0.05,348030.846,1.184
W36X441,0.000,9,0.95,1322.389,0.409
W36X441,0.000,9,0.85,2586.734,0.199
W36X441,0.000,9,0.75,348030.846,1.184
W36X441,0.000,9,0.50,348030.846,1.184
W36X441,0.000,9,0.25,348030.846,1.184
W36X441,0.000,9,0.15,348030.826,1.184
W36X441,0.000,9,0.05,348030.846,1.184
W36X395,0.000,29,0.95,1182.498,0.420
W36X395,0.000,29,0.85,2649.407,0.253
W36X395,0.000,29,0.75,348030.846,1.184
W36X395,0.000,29,0.50,348030.846,1.184
W36X395,0.000,29,0.25,348030.846,1.184
W36X395,0.000,29,0.15,348030.846,1.184
W36X395,0.000,29,0.05,348030.846,1.184
W36X395,0.000,25,0.95,1182.498,0.420
W36X395,0.000,25,0.85,2649.407,0.253
W36X395,0.000,25,0.75,348030.846,1.184
W36X395,0.000,25,0.50,348030.846,1.184
W36X395,0.000,25,0.25,348030.846,1.184
W36X395,0.000,25,0.15,348030.846,1.184
W36X395,0.000,25,0.05,348030.846,1.184
W36X395,0.000,21,0.95,1182.498,0.420
W36X395,0.000,21,0.85,2649.407,0.253
W36X395,0.000,21,0.75,348030.846,1.184
W36X395,0.000,21,0.50,348030.846,1.184
W36X395,0.000,21,0.25,348030.846,1.184
W36X395,0.000,21,0.15,348030.846,1.184
W36X395,0.000,21,0.05,348030.846,1.184
W36X395,0.000,17,0.95,1182.498,0.420
W36X395,0.000,17,0.85,2649.407,0.253
W36X395,0.000,17,0.75,348030.846,1.184
W36X395,0.000,17,0.50,348030.846,1.184
W36X395,0.000,17,0.25,348030.846,1.184
W36X395,0.000,17,0.15,348030.846,1.184
W36X395,0.000,17,0.05,348030.846,1.184
W36X395,0.000,13,0.95,1182.498,0.420
W36X395,0.000,13,0.85,2649.407,0.253
W36X395,0.000,13,0.75,348030.846,1.184
W36X395,0.000,13,0.50,348030.846,1.184
W36X395,0.000,13,0.25,348030.846,1.184
W36X395,0.000,13,0.15,348030.846,1.184
W36X395,0.000,13,0.05,348030.846,1.184
W36X395,0.000,9,0.95,1182.498,0.420
W36X395,0.000,9,0.85,2649.407,0.253
W36X395,0.000,9,0.75,348030.846,1.184
W36X395,0.000,9,0.50,348030.846,1.184
W36X395,0.000,9,0.25,348030.826,1.184
W36X395,0.000,9,0.15,348030.846,1.184
W36X395,0.000,9,0.05,348030.846,1.184
W36X361,0.000,29,0.95,1071.184,0.449
W36X361,0.000,29,0.85,2693.632,0.313
W36X361,0.000,29,0.75,2122.688,0.026
W36X361,0.000,29,0.50,348030.846,1.184
W36X361,0.000,29,0.25,348030.846,1.184
W36X361,0.000,29,0.15,348030.846,1.184
W36X361,0.000,29,0.05,348030.846,1.184
W36X361,0.000,25,0.95,1071.184,0.449
W36X361,0.000,25,0.85,2693.632,0.313
W36X361,0.000,25,0.75,2122.688,0.026
W36X361,0.000,25,0.50,348030.846,1.184
W36X361,0.000,25,0.25,348030.846,1.184
W36X361,0.000,25,0.15,348030.829,1.184
W36X361,0.000,25,0.05,348030.846,1.184
W36X361,0.000,21,0.95,1071.184,0.449
W36X361,0.000,21,0.85,2693.632,0.313
W36X361,0.000,21,0.75,2122.690,0.026
W36X361,0.000,21,0.50,348030.829,1.184
W36X361,0.000,21,0.25,348030.833,1.184
W36X361,0.000,21,0.15,348030.846,1.184
W36X361,0.000,21,0.05,348030.846,1.184
W36X361,0.000,17,0.95,1071.184,0.449
W36X361,0.000,17,0.85,2693.632,0.313
W36X361,0.000,17,0.75,2122.688,0.026
W36X361,0.000,17,0.50,348030.822,1.184
W36X361,0.000,17,0.25,348030.846,1.184
W36X361,0.000,17,0.15,348030.846,1.184
W36X361,0.000,17,0.05,348030.846,1.184
W36X361,0.000,13,0.95,1071.184,0.449
W36X361,0.000,13,0.85,2693.632,0.313
W36X361,0.000,13,0.75,2122.684,0.026
W36X361,0.000,13,0.50,348030.846,1.184
W36X361,0.000,13,0.25,348030.846,1.184
W36X361,0.000,13,0.15,348030.846,1.184
W36X361,0.000,13,0.05,348030.829,1.184
W36X361,0.000,9,0.95,1071.184,0.449
W36X361,0.000,9,0.85,2693.632,0.313
W36X361,0.000,9,0.75,2122.688,0.026
W36X361,0.000,9,0.50,348030.826,1.184
W36X361,0.000,9,0.25,348030.822,1.184
W36X361,0.000,9,0.15,348030.846,1.184
W36X361,0.000,9,0.05,348030.846,1.184
W27X539,0.000,29,0.95,1929.454,0.411
W27X539,0.000,29,0.85,348030.846,1.184
W27X539,0.000,29,0.75,348030.846,1.184
W27X539,0.000,29,0.50,348030.846,1.184
W27X539,0.000,29,0.25,348030.846,1.184
W27X539,0.000,29,0.15,348030.846,1.184
W27X539,0.000,29,0.05,348030.846,1.184
W27X539,0.000,25,0.95,1929.454,0.411
W27X539,0.000,25,0.85,348030.846,1.184
W27X539,0.000,25,0.75,348030.846,1.184
W27X539,0.000,25,0.50,348030.846,1.184
W27X539,0.000,25,0.25,348030.846,1.184
W27X539,0.000,25,0.15,348030.846,1.184
W27X539,0.000,25,0.05,348030.846,1.184
W27X539,0.000,21,0.95,1929.454,0.411
W27X539,0.000,21,0.85,348030.846,1.184
W27X539,0.000,21,0.75,348030.846,1.184
W27X539,0.000,21,0.50,348030.846,1.184
W27X539,0.000,21,0.25,348030.846,1.184
W27X539,0.000,21,0.15,348030.826,1.184
W27X539,0.000,21,0.05,348030.846,1.184
W27X539,0.000,17,0.95,1929.454,0.411
W27X539,0.000,17,0.85,348030.829,1.184
W27X539,0.000,17,0.75,348030.846,1.184
W27X539,0.000,17,0.50,348030.846,1.184
W27X539,0.000,17,0.25,348030.846,1.184
W27X539,0.000,17,0.15,348030.846,1.184
W27X539,0.000,17,0.05,348030.846,1.184
W27X539,0.000,13,0.95,1929.454,0.411
W27X539,0.000,13,0.85,348030.846,1.184
W27X539,0.000,13,0.75,348030.826,1.184
W27X539,0.000,13,0.50,348030.846,1.184
W27X539,0.000,13,0.25,348030.846,1.184
W27X539,0.000,13,0.15,348030.846,1.184
W27X539,0.000,13,0.05,348030.846,1.184
W27X539,0.000,9,0.95,1929.454,0.411
W27X539,0.000,9,0.85,348030.846,1.184
W27X539,0.000,9,0.75,348030.846,1.184
W27X539,0.000,9,0.50,348030.846,1.184
W27X539,0.000,9,0.25,348030.846,1.184
W27X539,0.000,9,0.15,348030.849,1.184
W27X539,0.000,9,0.05,348030.846,1.184
W33X387,0.000,29,0.95,1218.788,0.425
W33X387,0.000,29,0.85,2696.314,0.257
W33X387,0.000,29,0.75,348030.846,1.184
W33X387,0.000,29,0.50,348030.846,1.184
W33X387,0.000,29,0.25,348030.846,1.184
W33X387,0.000,29,0.15,348030.846,1.184
W33X387,0.000,29,0.05,348030.846,1.184
W33X387,0.000,25,0.95,1218.788,0.425
W33X387,0.000,25,0.85,2696.314,0.257
W33X387,0.000,25,0.75,348030.846,1.184
W33X387,0.000,25,0.50,348030.846,1.184
W33X387,0.000,25,0.25,348030.846,1.184
W33X387,0.000,25,0.15,348030.846,1.184
W33X387,0.000,25,0.05,348030.846,1.184
